dataset,seed,method,feature,rank,lasfs_decision,semantic_relevance_mean,availability_mean,leakage_risk_mean,leakage_risk_std
bank,5,TFS-RF,confirmed_result_code,6,Reject,0.5333333333333333,0.06666666666666667,0.9666666666666667,0.04794633014853849
bank,5,TFS-RF,outcome_verification_score,7,Reject,0.0,0.0,1.0,0.0
bank,5,TFS-LogReg,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
bank,5,TFS-LogReg,risk_review_code,2,Reject,0.16666666666666666,0.0,1.0,0.0
bank,5,TFS-LogReg,followup_action_group,3,Reject,0.5333333333333333,0.06666666666666667,0.9666666666666667,0.04794633014853849
bank,5,TFS-LogReg,confirmed_result_code,5,Reject,0.5333333333333333,0.06666666666666667,0.9666666666666667,0.04794633014853849
bank,5,TFS-LogReg,case_resolution_type,6,Reject,0.3333333333333333,0.0,1.0,0.0
bank,5,TFS-LASSO,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
bank,5,TFS-LASSO,risk_review_code,2,Reject,0.16666666666666666,0.0,1.0,0.0
bank,5,TFS-LASSO,followup_action_group,3,Reject,0.5333333333333333,0.06666666666666667,0.9666666666666667,0.04794633014853849
bank,5,TFS-LASSO,confirmed_result_code,4,Reject,0.5333333333333333,0.06666666666666667,0.9666666666666667,0.04794633014853849
bank,5,TFS-LASSO,case_resolution_type,5,Reject,0.3333333333333333,0.0,1.0,0.0
bank,5,TFS-LASSO,final_outcome_flag,6,Reject,0.0,0.0,1.0,0.0
bank,5,TFS-LASSO,outcome_verification_score,7,Reject,0.0,0.0,1.0,0.0
blood,1,TFS-RF,risk_review_code,1,Reject,0.16666666666666666,0.0,1.0,0.0
blood,1,TFS-RF,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
blood,1,TFS-LogReg,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
blood,1,TFS-LogReg,risk_review_code,2,Reject,0.16666666666666666,0.0,1.0,0.0
blood,1,TFS-LASSO,risk_review_code,1,Reject,0.16666666666666666,0.0,1.0,0.0
blood,1,TFS-LASSO,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
blood,2,TFS-RF,risk_review_code,1,Reject,0.16666666666666666,0.0,1.0,0.0
blood,2,TFS-RF,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
blood,2,TFS-LogReg,risk_review_code,1,Reject,0.16666666666666666,0.0,1.0,0.0
blood,2,TFS-LogReg,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
blood,2,TFS-LASSO,risk_review_code,1,Reject,0.16666666666666666,0.0,1.0,0.0
blood,2,TFS-LASSO,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
blood,3,TFS-RF,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
blood,3,TFS-RF,risk_review_code,2,Reject,0.16666666666666666,0.0,1.0,0.0
blood,3,TFS-LogReg,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
blood,3,TFS-LogReg,risk_review_code,2,Reject,0.16666666666666666,0.0,1.0,0.0
blood,3,TFS-LASSO,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
blood,3,TFS-LASSO,risk_review_code,2,Reject,0.16666666666666666,0.0,1.0,0.0
blood,4,TFS-RF,risk_review_code,1,Reject,0.16666666666666666,0.0,1.0,0.0
blood,4,TFS-RF,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
blood,4,TFS-LogReg,risk_review_code,1,Reject,0.16666666666666666,0.0,1.0,0.0
blood,4,TFS-LogReg,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
blood,4,TFS-LASSO,risk_review_code,1,Reject,0.16666666666666666,0.0,1.0,0.0
blood,4,TFS-LASSO,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
blood,5,TFS-RF,risk_review_code,1,Reject,0.16666666666666666,0.0,1.0,0.0
blood,5,TFS-RF,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
blood,5,TFS-LogReg,risk_review_code,1,Reject,0.16666666666666666,0.0,1.0,0.0
blood,5,TFS-LogReg,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
blood,5,TFS-LASSO,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
blood,5,TFS-LASSO,final_outcome_flag,2,Reject,0.3333333333333333,0.0,1.0,0.0
cultivars,1,TFS-RF,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
cultivars,1,TFS-RF,risk_review_code,2,Reject,0.0,0.0,1.0,0.0
cultivars,1,TFS-RF,final_outcome_flag,3,Reject,0.0,0.0,1.0,0.0
cultivars,1,TFS-RF,followup_action_group,4,Reject,0.0,0.0,1.0,0.0
cultivars,1,TFS-LogReg,final_outcome_flag,1,Reject,0.0,0.0,1.0,0.0
cultivars,1,TFS-LogReg,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
cultivars,1,TFS-LogReg,risk_review_code,4,Reject,0.0,0.0,1.0,0.0
cultivars,1,TFS-LASSO,final_outcome_flag,1,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-RF,risk_review_code,1,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-RF,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-RF,final_outcome_flag,3,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-RF,followup_action_group,4,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-LogReg,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-LogReg,risk_review_code,2,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-LogReg,final_outcome_flag,3,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-LASSO,risk_review_code,1,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-LASSO,final_outcome_flag,2,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-LASSO,post_decision_status,3,Reject,0.0,0.0,1.0,0.0
cultivars,2,TFS-LASSO,outcome_verification_score,4,Reject,0.26666666666666666,0.0,1.0,0.0
cultivars,3,TFS-RF,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
cultivars,3,TFS-RF,risk_review_code,2,Reject,0.0,0.0,1.0,0.0
cultivars,3,TFS-RF,final_outcome_flag,3,Reject,0.0,0.0,1.0,0.0
cultivars,3,TFS-RF,followup_action_group,4,Reject,0.0,0.0,1.0,0.0
cultivars,3,TFS-LogReg,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
cultivars,3,TFS-LogReg,final_outcome_flag,2,Reject,0.0,0.0,1.0,0.0
cultivars,3,TFS-LogReg,risk_review_code,3,Reject,0.0,0.0,1.0,0.0
cultivars,3,TFS-LASSO,final_outcome_flag,1,Reject,0.0,0.0,1.0,0.0
cultivars,3,TFS-LASSO,post_decision_status,2,Reject,0.0,0.0,1.0,0.0
cultivars,3,TFS-LASSO,risk_review_code,3,Reject,0.0,0.0,1.0,0.0
cultivars,3,TFS-LASSO,outcome_verification_score,4,Reject,0.26666666666666666,0.0,1.0,0.0
cultivars,4,TFS-RF,post_decision_status,1,Reject,0.0,0.0,1.0,0.0
cultivars,4,TFS-RF,risk_review_code,2,Reject,0.0,0.0,1.0,0.0
