dataset,comparison,metric,mean_delta,std_delta,n_seeds
diabetes,LASFS-w/o-leakage - LASFS-full,deployment_drop,0.0,0.0,5
diabetes,LASFS-w/o-leakage - LASFS-full,selected_leakage_count,0.0,0.0,5
diabetes,LASFS-w/o-leakage - LASFS-full,injected_leakage_recall,0.0,0.0,5
diabetes,LASFS-w/o-availability - LASFS-full,clean_auroc,0.0,0.0,5
diabetes,LASFS-w/o-availability - LASFS-full,clean_f1,0.0,0.0,5
diabetes,LASFS-w/o-availability - LASFS-full,deployment_drop,0.0,0.0,5
diabetes,LASFS-w/o-availability - LASFS-full,selected_leakage_count,0.0,0.0,5
diabetes,LASFS-w/o-availability - LASFS-full,injected_leakage_recall,0.0,0.0,5
diabetes,LASFS-w/o-uncertainty - LASFS-full,clean_auroc,0.0,0.0,5
diabetes,LASFS-w/o-uncertainty - LASFS-full,clean_f1,0.0,0.0,5
diabetes,LASFS-w/o-uncertainty - LASFS-full,deployment_drop,0.0,0.0,5
diabetes,LASFS-w/o-uncertainty - LASFS-full,selected_leakage_count,0.0,0.0,5
diabetes,LASFS-w/o-uncertainty - LASFS-full,injected_leakage_recall,0.0,0.0,5
german_credit,LASFS-w/o-leakage - LASFS-full,clean_auroc,-0.010119047619047649,0.04209370872975969,5
german_credit,LASFS-w/o-leakage - LASFS-full,clean_f1,-0.022454200435969664,0.03267766663930808,5
german_credit,LASFS-w/o-leakage - LASFS-full,deployment_drop,0.2373333333333333,0.019665814506500373,5
german_credit,LASFS-w/o-leakage - LASFS-full,selected_leakage_count,1.0,0.0,5
german_credit,LASFS-w/o-leakage - LASFS-full,injected_leakage_recall,0.3333333333333333,0.0,5
german_credit,LASFS-w/o-availability - LASFS-full,clean_auroc,0.00028571428571428915,0.008031899447214148,5
german_credit,LASFS-w/o-availability - LASFS-full,clean_f1,-0.0007116361234254853,0.010336140871433445,5
german_credit,LASFS-w/o-availability - LASFS-full,deployment_drop,0.0,0.0,5
german_credit,LASFS-w/o-availability - LASFS-full,selected_leakage_count,0.0,0.0,5
german_credit,LASFS-w/o-availability - LASFS-full,injected_leakage_recall,0.0,0.0,5
german_credit,LASFS-w/o-uncertainty - LASFS-full,clean_auroc,0.001011904761904714,0.007019772851335932,5
german_credit,LASFS-w/o-uncertainty - LASFS-full,clean_f1,0.0035710318749543335,0.005468020937411221,5
german_credit,LASFS-w/o-uncertainty - LASFS-full,deployment_drop,0.0,0.0,5
german_credit,LASFS-w/o-uncertainty - LASFS-full,selected_leakage_count,0.0,0.0,5
german_credit,LASFS-w/o-uncertainty - LASFS-full,injected_leakage_recall,0.0,0.0,5
heart,LASFS-w/o-leakage - LASFS-full,clean_auroc,0.000488945578231248,0.006322017443880413,5
heart,LASFS-w/o-leakage - LASFS-full,clean_f1,-0.008855489669100191,0.010415675776380265,5
heart,LASFS-w/o-leakage - LASFS-full,deployment_drop,0.0,0.0,5
heart,LASFS-w/o-leakage - LASFS-full,selected_leakage_count,0.0,0.0,5
heart,LASFS-w/o-leakage - LASFS-full,injected_leakage_recall,0.0,0.0,5
heart,LASFS-w/o-availability - LASFS-full,clean_auroc,-0.0010770975056690224,0.0016956164573135235,5
heart,LASFS-w/o-availability - LASFS-full,clean_f1,-0.0070798839254822,0.013181222467177657,5
heart,LASFS-w/o-availability - LASFS-full,deployment_drop,0.0,0.0,5
heart,LASFS-w/o-availability - LASFS-full,selected_leakage_count,0.0,0.0,5
heart,LASFS-w/o-availability - LASFS-full,injected_leakage_recall,0.0,0.0,5
heart,LASFS-w/o-uncertainty - LASFS-full,clean_auroc,0.0,0.0,5
heart,LASFS-w/o-uncertainty - LASFS-full,clean_f1,0.0,0.0,5
heart,LASFS-w/o-uncertainty - LASFS-full,deployment_drop,0.0,0.0,5
heart,LASFS-w/o-uncertainty - LASFS-full,selected_leakage_count,0.0,0.0,5
heart,LASFS-w/o-uncertainty - LASFS-full,injected_leakage_recall,0.0,0.0,5
telco_churn,LASFS-w/o-leakage - LASFS-full,clean_auroc,0.002670696737192979,0.009761710848299382,5
telco_churn,LASFS-w/o-leakage - LASFS-full,clean_f1,-0.10425106954034931,0.11166228122271489,5
telco_churn,LASFS-w/o-leakage - LASFS-full,deployment_drop,0.17646748818104302,0.014005401614563807,5
telco_churn,LASFS-w/o-leakage - LASFS-full,selected_leakage_count,1.0,0.0,5
telco_churn,LASFS-w/o-leakage - LASFS-full,injected_leakage_recall,0.3333333333333333,0.0,5
telco_churn,LASFS-w/o-availability - LASFS-full,clean_auroc,-0.00019375339068430363,0.004714728212239815,5
telco_churn,LASFS-w/o-availability - LASFS-full,clean_f1,-0.00034633172280299494,0.007919735273658392,5
telco_churn,LASFS-w/o-availability - LASFS-full,deployment_drop,2.5833785426421236e-07,5.776610032962128e-07,5
telco_churn,LASFS-w/o-availability - LASFS-full,selected_leakage_count,0.0,0.0,5
telco_churn,LASFS-w/o-availability - LASFS-full,injected_leakage_recall,0.0,0.0,5
telco_churn,LASFS-w/o-uncertainty - LASFS-full,clean_auroc,0.00013872742773000102,0.0057815077924031535,5
telco_churn,LASFS-w/o-uncertainty - LASFS-full,clean_f1,0.0013727165274077468,0.009093762984399633,5
telco_churn,LASFS-w/o-uncertainty - LASFS-full,deployment_drop,0.0,0.0,5
telco_churn,LASFS-w/o-uncertainty - LASFS-full,selected_leakage_count,0.0,0.0,5
telco_churn,LASFS-w/o-uncertainty - LASFS-full,injected_leakage_recall,0.0,0.0,5
