dataset,comparison,metric,mean_delta,std_delta,n_seeds
cultivars,LASFS - TFS-LogReg,injected_leakage_recall,-0.3,0.0,5
cultivars,LASFS - TFS-LASSO,clean_auroc,0.12734375,0.13901290866547167,5
cultivars,LASFS - TFS-LASSO,clean_f1,0.007617742552744988,0.05563036484163718,5
cultivars,LASFS - TFS-LASSO,deployment_drop,-0.37255859375,0.16582954300170197,5
cultivars,LASFS - TFS-LASSO,selected_leakage_count,-2.6,1.5165750888103102,5
cultivars,LASFS - TFS-LASSO,injected_leakage_recall,-0.26,0.15165750888103102,5
cultivars,LASFS - LLM-only,clean_auroc,0.0697265625,0.11745645812018249,5
cultivars,LASFS - LLM-only,clean_f1,0.04354369329078116,0.10219811227980212,5
cultivars,LASFS - LLM-only,deployment_drop,0.0,0.0,5
cultivars,LASFS - LLM-only,selected_leakage_count,0.0,0.0,5
cultivars,LASFS - LLM-only,injected_leakage_recall,0.0,0.0,5
diabetes,LASFS - TFS-RF,clean_auroc,0.31015899011284775,0.03553013090048747,5
diabetes,LASFS - TFS-RF,clean_f1,0.1256320849998539,0.022200204003354932,5
diabetes,LASFS - TFS-RF,deployment_drop,-0.5,0.0,5
diabetes,LASFS - TFS-RF,selected_leakage_count,-4.0,0.0,5
diabetes,LASFS - TFS-RF,injected_leakage_recall,-0.4,0.0,5
diabetes,LASFS - TFS-LogReg,clean_auroc,0.31015899011284775,0.03553013090048747,5
diabetes,LASFS - TFS-LogReg,clean_f1,0.1256320849998539,0.022200204003354932,5
diabetes,LASFS - TFS-LogReg,deployment_drop,-0.5,0.0,5
diabetes,LASFS - TFS-LogReg,selected_leakage_count,-4.0,0.0,5
diabetes,LASFS - TFS-LogReg,injected_leakage_recall,-0.4,0.0,5
diabetes,LASFS - TFS-LASSO,clean_auroc,0.23892693263037001,0.13134568601317187,5
diabetes,LASFS - TFS-LASSO,clean_f1,0.1256320849998539,0.022200204003354932,5
diabetes,LASFS - TFS-LASSO,deployment_drop,-0.4287679425175222,0.09894313344942664,5
diabetes,LASFS - TFS-LASSO,selected_leakage_count,-3.6,0.5477225575051661,5
diabetes,LASFS - TFS-LASSO,injected_leakage_recall,-0.36,0.05477225575051663,5
diabetes,LASFS - LLM-only,clean_auroc,0.015688720758868357,0.019317361166390098,5
diabetes,LASFS - LLM-only,clean_f1,0.039515441836494226,0.047490198891386094,5
diabetes,LASFS - LLM-only,deployment_drop,-0.11567224332496136,0.02718106208178083,5
diabetes,LASFS - LLM-only,selected_leakage_count,-1.0,0.0,5
diabetes,LASFS - LLM-only,injected_leakage_recall,-0.1,0.0,5
german_credit,LASFS - TFS-RF,clean_auroc,0.17530952380952383,0.09897287666136542,5
german_credit,LASFS - TFS-RF,clean_f1,-0.00571846398203899,0.011122843102485059,5
german_credit,LASFS - TFS-RF,deployment_drop,-0.4336547619047619,0.10507530233598061,5
german_credit,LASFS - TFS-RF,selected_leakage_count,-7.4,0.5477225575051662,5
german_credit,LASFS - TFS-RF,injected_leakage_recall,-0.7399999999999999,0.05477225575051666,5
german_credit,LASFS - TFS-LogReg,clean_auroc,0.19258333333333338,0.07203369176595843,5
german_credit,LASFS - TFS-LogReg,clean_f1,-0.00571846398203899,0.011122843102485059,5
german_credit,LASFS - TFS-LogReg,deployment_drop,-0.45092857142857146,0.08155236126287836,5
german_credit,LASFS - TFS-LogReg,selected_leakage_count,-7.6,0.5477225575051662,5
german_credit,LASFS - TFS-LogReg,injected_leakage_recall,-0.76,0.05477225575051666,5
german_credit,LASFS - TFS-LASSO,clean_auroc,0.16959523809523808,0.05322183218569064,5
german_credit,LASFS - TFS-LASSO,clean_f1,-0.00571846398203899,0.011122843102485059,5
german_credit,LASFS - TFS-LASSO,deployment_drop,-0.4279404761904761,0.03273026421491633,5
german_credit,LASFS - TFS-LASSO,selected_leakage_count,-6.4,0.5477225575051661,5
german_credit,LASFS - TFS-LASSO,injected_leakage_recall,-0.64,0.0547722557505166,5
german_credit,LASFS - LLM-only,clean_auroc,0.009773809523809619,0.01664568194230148,5
german_credit,LASFS - LLM-only,clean_f1,-0.0013520170962243005,0.009440226858669513,5
german_credit,LASFS - LLM-only,deployment_drop,-0.16919047619047622,0.024468796652822686,5
german_credit,LASFS - LLM-only,selected_leakage_count,-1.0,0.0,5
german_credit,LASFS - LLM-only,injected_leakage_recall,-0.1,0.0,5
heart,LASFS - TFS-RF,clean_auroc,0.38691184807256235,0.009468668827942745,5
heart,LASFS - TFS-RF,clean_f1,0.1330643154520026,0.017594894711665508,5
heart,LASFS - TFS-RF,deployment_drop,-0.49997874149659866,4.753545870534186e-05,5
heart,LASFS - TFS-RF,selected_leakage_count,-5.0,0.0,5
heart,LASFS - TFS-RF,injected_leakage_recall,-0.5,0.0,5
heart,LASFS - TFS-LogReg,clean_auroc,0.38691184807256235,0.009468668827942745,5
heart,LASFS - TFS-LogReg,clean_f1,0.1330643154520026,0.017594894711665508,5
heart,LASFS - TFS-LogReg,deployment_drop,-0.49997874149659866,4.753545870534186e-05,5
heart,LASFS - TFS-LogReg,selected_leakage_count,-5.0,0.0,5
heart,LASFS - TFS-LogReg,injected_leakage_recall,-0.5,0.0,5
heart,LASFS - TFS-LASSO,clean_auroc,0.2564554988662131,0.11880414263110016,5
heart,LASFS - TFS-LASSO,clean_f1,0.1330643154520026,0.017594894711665508,5
heart,LASFS - TFS-LASSO,deployment_drop,-0.3695153061224489,0.11927461975140724,5
heart,LASFS - TFS-LASSO,selected_leakage_count,-4.4,0.5477225575051661,5
